GSR_mean,GSR_variance,HR_mean,HR_variance,75_percentile_GSR,75_percentile_HR,GSRmean_persen_diff,HRmean_persent_diff,GSRmean_diff,HRmean_diff,valence_acc_video,arousal_acc_video,P_id,video_id,Score,time,valence,arousal,videoID,start_time,end_time,probe,prev_window
0.4257894736842105,0.0030108033240997,0.2595744680851063,0.0010049796287913,0.4736842105263157,0.2659574468085106,0.2676487544145284,0.2350907847489431,0.2676487544145284,0.2350907847489431,1.0,1.0,1.0,1.0,0.0265038873956543,1752928036312.0,5.0,5.0,1.0,1752928036312.0,1752928041312.0,0,1
0.4252631578947368,0.0025307479224376,0.2576595744680851,0.0010560887279311,0.4473684210526316,0.2659574468085106,0.2681750702040021,0.2370056783659644,0.2681750702040021,0.2370056783659644,1.0,1.0,1.0,1.0,0.288670194979498,1752928043270.9443,6.6288888888888895,5.786666666666665,1.0,1752928041313.0,1752928046313.0,0,0
0.5178947368421052,0.0033362880886426,0.2485106382978723,0.001411317338162,0.5526315789473685,0.2632978723404254,0.1755434912566337,0.2461546145361772,0.1755434912566337,0.2461546145361772,1.0,1.0,1.0,1.0,0.1929518184180385,1752928043270.9443,6.6288888888888895,5.786666666666665,1.0,1752928041313.0,1752928046313.0,0,0
0.5263157894736843,0.0060387811634349,0.2659574468085106,0.002856496152105,0.5723684210526316,0.2978723404255319,0.1671224386250546,0.2287078060255388,0.1671224386250546,0.2287078060255388,1.0,1.0,1.0,1.0,0.2537227770543198,1752928043270.9443,6.6288888888888895,5.786666666666665,1.0,1752928041313.0,1752928046313.0,0,0
0.4578947368421052,0.0025207756232687,0.2634042553191489,0.0017906745133544,0.5,0.2765957446808511,0.2355434912566337,0.2312609975149006,0.2355434912566337,0.2312609975149006,1.0,1.0,1.0,1.0,0.0056624244142373,1752928043270.9443,6.6288888888888895,5.786666666666665,1.0,1752928041313.0,1752928046313.0,0,0
0.4184210526315788,0.0018628808864265,0.2576595744680851,0.0016898596650067,0.4473684210526316,0.2632978723404254,0.2750171754671601,0.2370056783659644,0.2750171754671601,0.2370056783659644,1.0,1.0,1.0,1.0,1.206342248925653e-05,1752928043270.9443,6.6288888888888895,5.786666666666665,1.0,1752928041313.0,1752928046313.0,0,0
0.4121052631578947,0.0025930747922437,0.2561702127659574,0.0013573562698053,0.4473684210526316,0.2632978723404254,0.2813329649408441,0.238495040068092,0.2813329649408441,0.238495040068092,1.0,1.0,1.0,1.0,1.5596317829763024e-06,1752928043270.9443,6.6288888888888895,5.786666666666665,1.0,1752928041313.0,1752928046313.0,0,0
0.3989473684210525,0.0023091412742382,0.255531914893617,0.0014598913535536,0.4473684210526316,0.2659574468085106,0.2944908596776863,0.2391333379404325,0.2944908596776863,0.2391333379404325,1.0,1.0,1.0,1.0,1.4060161317795176e-05,1752928043270.9443,6.6288888888888895,5.786666666666665,1.0,1752928041313.0,1752928046313.0,0,0
0.4052631578947368,0.0022991689750692,0.256595744680851,0.0017050248981439,0.4473684210526316,0.2659574468085106,0.288175070204002,0.2380695081531984,0.288175070204002,0.2380695081531984,1.0,1.0,1.0,1.0,0.0084111862319294,1752928043270.9443,6.6288888888888895,5.786666666666665,1.0,1752928041313.0,1752928046313.0,0,0
0.3889473684210526,0.0020301939058171,0.2544680851063829,0.0016697148030783,0.4210526315789473,0.2553191489361702,0.3044908596776863,0.2401971677276665,0.3044908596776863,0.2401971677276665,1.0,1.0,1.0,1.0,0.0016556896522382,1752928043270.9443,6.6288888888888895,5.786666666666665,1.0,1752928041313.0,1752928046313.0,0,0
