GSR_mean,GSR_variance,HR_mean,HR_variance,75_percentile_GSR,75_percentile_HR,GSRmean_persen_diff,HRmean_persent_diff,GSRmean_diff,HRmean_diff,valence_acc_video,arousal_acc_video,P_id,video_id,Score,time,valence,arousal,videoID,start_time,end_time,probe,prev_window,start_time_sec,end_time_sec,num_samples,pupil_diameter_mean,pupil_diameter_std,diameter_3d_mean,diameter_3d_std,sphere_radius_mean,circle_3d_radius_mean,ellipse_axis_a_mean,ellipse_axis_b_mean,ellipse_angle_mean,ellipse_angle_std,confidence_x_mean,confidence_y_mean,confidence_x_std,confidence_y_std,blink_count,gaze_movement_mean,gaze_movement_std,gaze_dir_variability,eye_center_movement_mean,eye_center_movement_std,missing_value_ratio,start_time_ms,end_time_ms
0.4241666666666667,0.0089368055555555,0.3039999999999999,0.035968,0.5,0.32,0.4241666666666667,0.6915390674048085,0.4241666666666667,0.6915390674048085,1.0,1.0,1,1.0,5.591293691503484e-05,1751711137463.0,5.0,5.0,1.0,1751711137463.0,1751711142463.0,0.0,1.0,4076688.148068,4076693.148068,1017.0,18.136055101268788,2.40674790761193,2.318852557912105,0.3375674345980873,10.392304845413266,1.1594262789560523,15.115320383546086,18.136055101268788,78.93701175328765,44.461365979430575,0.8912074586766551,0.8895834171079411,0.1532340474170779,0.1352223568478054,86.0,142.12389492268483,1871.0852435161075,0.1425684684857724,17.75361114993903,65.36975639958798,0.0338974279356207,1751711133087.753,1751711138087.753
0.4241666666666667,0.0089368055555555,0.3039999999999999,0.035968,0.5,0.32,0.4241666666666667,0.6915390674048085,0.4241666666666667,0.6915390674048085,1.0,1.0,1,1.0,5.591293691503484e-05,1751711137463.0,5.0,5.0,1.0,1751711137463.0,1751711142463.0,0.0,1.0,4076693.148068,4076698.148068,1226.0,21.426938986927315,2.5479223767530383,2.757877065135565,0.3547973624734671,10.392304845413264,1.3789385325677828,18.593698601079144,21.426938986927315,78.22636895175842,52.03259523459521,0.9000321881474124,0.900005249388673,0.0970266640751144,0.0702096080101852,6.0,3.9064344547300127,22.72172644991788,0.0699897869954832,2.1141528884567475,23.28522828557329,0.0183165908245327,1751711138087.753,1751711143087.753
0.4191666666666667,0.0087784722222222,0.3072,0.0395801599999999,0.5,0.32,0.4191666666666667,0.6883390674048084,0.4191666666666667,0.6883390674048084,1.0,1.0,1,1.0,8.733022325692841e-10,1751711146395.2,6.333333333333331,5.8,1.0,1751711142464.0,1751711147464.0,0.0,0.0,4076693.148068,4076698.148068,1226.0,21.426938986927315,2.5479223767530383,2.757877065135565,0.3547973624734671,10.392304845413264,1.3789385325677828,18.593698601079144,21.426938986927315,78.22636895175842,52.03259523459521,0.9000321881474124,0.900005249388673,0.0970266640751144,0.0702096080101852,6.0,3.9064344547300127,22.72172644991788,0.0699897869954832,2.1141528884567475,23.28522828557329,0.0183165908245327,1751711138087.753,1751711143087.753
0.4191666666666667,0.0087784722222222,0.3072,0.0395801599999999,0.5,0.32,0.4191666666666667,0.6883390674048084,0.4191666666666667,0.6883390674048084,1.0,1.0,1,1.0,8.733022325692841e-10,1751711146395.2,6.333333333333331,5.8,1.0,1751711142464.0,1751711147464.0,0.0,0.0,4076698.148068,4076703.148068,1217.0,20.341764201749776,2.4736231105050264,2.6138131889140865,0.3058516622749869,10.392304845413264,1.3069065944570433,17.39021508568899,20.341764201749776,71.23242122756092,45.86391123577477,0.9470232106730264,0.9470841492165794,0.0739551833490663,0.0419623635049792,2.0,35.13865469571266,573.2272591934156,0.0610709622040595,0.4260232943856937,10.478582410753296,0.0182358113854891,1751711143087.753,1751711148087.753
0.4333333333333333,0.0087499999999999,0.3112,0.03873856,0.5,0.35,0.4333333333333333,0.6843390674048084,0.4333333333333333,0.6843390674048084,1.0,1.0,1,1.0,0.0476530121095381,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,0.0,0.0,4076698.148068,4076703.148068,1217.0,20.341764201749776,2.4736231105050264,2.6138131889140865,0.3058516622749869,10.392304845413264,1.3069065944570433,17.39021508568899,20.341764201749776,71.23242122756092,45.86391123577477,0.9470232106730264,0.9470841492165794,0.0739551833490663,0.0419623635049792,2.0,35.13865469571266,573.2272591934156,0.0610709622040595,0.4260232943856937,10.478582410753296,0.0182358113854891,1751711143087.753,1751711148087.753
0.4333333333333333,0.0087499999999999,0.3112,0.03873856,0.5,0.35,0.4333333333333333,0.6843390674048084,0.4333333333333333,0.6843390674048084,1.0,1.0,1,1.0,0.0476530121095381,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,0.0,0.0,4076703.148068,4076708.148068,1132.0,19.89501289676032,2.3812717033360022,2.5404192851215246,0.3104906483002153,10.392304845413264,1.2702096425607623,16.594435978297685,19.89501289676032,83.62776278948805,44.86882771727035,0.9573302363554718,0.9572899891133596,0.0776861433859788,0.0658246392541897,11.0,929.0560025558802,15319.155101095972,0.0911348894267919,2.3012608004063493,24.27430639692192,0.020147541999876,1751711148087.753,1751711153087.753
0.4166666666666666,0.0071527777777777,0.4064,0.05231104,0.4895833333333333,0.56,0.4166666666666666,0.5891390674048085,0.4166666666666666,0.5891390674048085,1.0,1.0,1,1.0,0.0648080433017553,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,0.0,0.0,4076698.148068,4076703.148068,1217.0,20.341764201749776,2.4736231105050264,2.6138131889140865,0.3058516622749869,10.392304845413264,1.3069065944570433,17.39021508568899,20.341764201749776,71.23242122756092,45.86391123577477,0.9470232106730264,0.9470841492165794,0.0739551833490663,0.0419623635049792,2.0,35.13865469571266,573.2272591934156,0.0610709622040595,0.4260232943856937,10.478582410753296,0.0182358113854891,1751711143087.753,1751711148087.753
0.4166666666666666,0.0071527777777777,0.4064,0.05231104,0.4895833333333333,0.56,0.4166666666666666,0.5891390674048085,0.4166666666666666,0.5891390674048085,1.0,1.0,1,1.0,0.0648080433017553,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,0.0,0.0,4076703.148068,4076708.148068,1132.0,19.89501289676032,2.3812717033360022,2.5404192851215246,0.3104906483002153,10.392304845413264,1.2702096425607623,16.594435978297685,19.89501289676032,83.62776278948805,44.86882771727035,0.9573302363554718,0.9572899891133596,0.0776861433859788,0.0658246392541897,11.0,929.0560025558802,15319.155101095972,0.0911348894267919,2.3012608004063493,24.27430639692192,0.020147541999876,1751711148087.753,1751711153087.753
0.4116666666666667,0.0084472222222222,0.3087999999999999,0.0398745599999999,0.5,0.35,0.4116666666666667,0.6867390674048085,0.4116666666666667,0.6867390674048085,1.0,1.0,1,1.0,1.721657400320462e-09,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,0.0,0.0,4076698.148068,4076703.148068,1217.0,20.341764201749776,2.4736231105050264,2.6138131889140865,0.3058516622749869,10.392304845413264,1.3069065944570433,17.39021508568899,20.341764201749776,71.23242122756092,45.86391123577477,0.9470232106730264,0.9470841492165794,0.0739551833490663,0.0419623635049792,2.0,35.13865469571266,573.2272591934156,0.0610709622040595,0.4260232943856937,10.478582410753296,0.0182358113854891,1751711143087.753,1751711148087.753
0.4116666666666667,0.0084472222222222,0.3087999999999999,0.0398745599999999,0.5,0.35,0.4116666666666667,0.6867390674048085,0.4116666666666667,0.6867390674048085,1.0,1.0,1,1.0,1.721657400320462e-09,1751711148756.75,7.43375,7.56875,1.0,1751711147465.0,1751711152465.0,0.0,0.0,4076703.148068,4076708.148068,1132.0,19.89501289676032,2.3812717033360022,2.5404192851215246,0.3104906483002153,10.392304845413264,1.2702096425607623,16.594435978297685,19.89501289676032,83.62776278948805,44.86882771727035,0.9573302363554718,0.9572899891133596,0.0776861433859788,0.0658246392541897,11.0,929.0560025558802,15319.155101095972,0.0911348894267919,2.3012608004063493,24.27430639692192,0.020147541999876,1751711148087.753,1751711153087.753
